theta1,theta2,omega1,omega2,alpha1,alpha2
-0.11605932994109255,0.23209192081697508,-2.325665741915036,-0.23344624357649194,5.73795728545598,-9.253428639139136
-0.1613851773675043,0.2255437455768863,-2.205030271400128,-0.42259494774562556,6.304943209667878,-9.620961541775719
-0.20419256095346858,0.21515430155210477,-2.0741708740598463,-0.6168625784733404,6.766338315816705,-9.775049538596463
-0.24429585152082636,0.200860124352142,-1.9348661146304367,-0.812539259275997,7.154123298404495,-9.770273771925943
-0.28153915274434455,0.18266160347439767,-1.7883390041675042,-1.0069195096119534,7.491766692596572,-9.652187383568537
-0.31578690396339343,0.1606047772052323,-1.635427737582401,-1.1981118838765321,7.794426868140873,-9.456700804214767
-0.34691777782224076,0.1347669412684125,-1.4767413861430734,-1.3848524694896378,8.07006896532415,-9.210820099029188
-0.37482145376193565,0.10524581523322483,-1.3127915505756258,-1.5663361480228069,8.320651828883566,-8.933543484048144
-0.39939780647498885,0.0721519275980721,-1.144103391458728,-1.7420619959049524,8.542956951661353,-8.636314100376477
-0.42055818363536435,0.03560404652740538,-0.9713153246881288,-1.9116810058154066,8.728876322149247,-8.322776715473314
-0.4382286590318283,-0.004272244763348455,-0.7952787934646985,-2.0748314147735853,8.86512065641802,-7.987786562614512
-0.4523553747483509,-0.04734243550777914,-0.6171690029322062,-2.2309476028867175,8.932445551459665,-7.615797478915387
-0.46291227160685633,-0.09345680655736173,-0.43861354199626484,-2.3790337077273316,8.904717062025556,-7.179051602680676
-0.46991155795140943,-0.14243928871052544,-0.26183570991922356,-2.5174065030127224,8.748541912944447,-6.636540285211648
-0.4734170203122182,-0.19407110502529618,-0.08978905298446377,-2.6434395537096997,8.424795789061964,-5.935555940912479
-0.4735594990260616,-0.24806990933011502,0.07377339298655955,-2.753386246361238,7.8939717091056725,-5.018519970697612
-0.47055232701520966,-0.3040672429328857,0.2243905000033836,-2.8424145628910855,7.127083054193983,-3.837623928289772
-0.4647023809508421,-0.36159016122583576,0.35725712876595933,-2.9050138125810205,6.121604461849048,-2.3768568376074235
-0.4564105485995466,-0.42005560491972443,0.46791699871979164,-2.935863022753836,4.9170049677071965,-0.6742603602026706
-0.446155759770157,-0.4787859277564687,0.5531775664198357,-2.9310319665191136,3.5995051097224033,1.1696953133320058
-0.43446099641363545,-0.5370484844806337,0.6119323083599995,-2.889099106125095,2.287294766366389,3.0099344654118223
-0.4218471068488627,-0.5941122471256737,0.6455025593744687,-2.8116601445055864,1.0990270085434037,4.697611174962647
-0.408786463871247,-0.6493058627628335,0.6573086950667737,-2.7029574769320948,0.12150987376333587,6.122819638490167
-0.395668798392514,-0.7020608678819653,0.652034169429158,-2.568835048663952,-0.6067052268708535,7.23662508198807
-0.3827856337162573,-0.7519314425143081,0.6346682168627421,-2.415525744178914,-1.091607149965336,8.046499752589487
